amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,1.6867522483513486,0.0,0.0,False,0.689955920753722,6,1846.133119724621,A012,A015,,,0.0,0.9541020673624179,,False,0,0.0,S0,10,,,SETTLED,True,5.137572857239944,3.4508206088885958,0.6926370851775487,0.6983936519234192,0.6419899042245202,shared,0.6825864965665864,S0-PVP-00000035,,A
,ASSET1,False,A017,1057.2491701738707,USD,,,,0.0,0.0,0,1.0,DVP,0,4.000000000000001,1,,,10.284576528113288,0.0,0.0,False,0.7522352194376911,6,,,,97.78303885756185,10.812193837767095,0.0,,,False,0,0.0,S0,10,A019,,SETTLED,False,14.78821323294137,4.503636704828081,0.6980777134683371,0.7759652464815125,0.7264409979180443,shared,0.7409908793486553,S0-DVP-00000056,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,20.48682477164849,0.0,0.0,False,0.7692368472915474,6,2450.368189305479,A009,A008,,,0.0,1.014437558850718,,False,0,0.0,S0,10,,,SETTLED,True,21.394840576733806,0.908015805085316,0.7572560671534957,0.8116251346834442,0.7568924658600468,shared,0.7728494724560163,S0-PVP-00000034,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,18.637673165105852,0.0,0.0,False,0.8685246280874993,6,2894.534104867477,A003,A005,,,0.0,1.0518738051574337,,False,0,0.0,S0,10,,,SETTLED,True,22.520393542604662,3.882720377498809,0.8846780964190359,0.9704764344981914,0.9384133910231928,shared,0.9061234356230837,S0-PVP-00000036,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,2.961448844907551,0.0,0.0,False,0.8832119814610353,6,1611.572842852132,A013,A000,,,0.0,0.9638216329563651,,False,0,0.0,S0,10,,,SETTLED,True,55.90962479124474,52.94817594633719,0.8750447080076132,0.957945797018728,0.8968623939810846,shared,0.8992553723858994,S0-PVP-00000042,,A
1277.1771598879768,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J02,7.514524593954874,0.0,0.0,False,0.596939679725847,6,,,,,,2.5,,A018,False,0,0.0,S0,10,,A009,SETTLED,True,61.59771924929347,54.083194655338595,0.5595780716010005,0.6094463424663223,0.5764725232783788,shared,0.5878752593594792,S0-XBPAY-00000005,1,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,11.97464569706868,0.0,0.0,False,0.8847801154208734,6,2379.972655064367,A017,A018,,,0.0,1.037864572212938,,False,0,0.0,S0,10,,,SETTLED,True,62.61624038874139,50.64159469167271,1.0,0.8883065208108984,0.9675437815745556,shared,0.9250821066454402,S0-PVP-00000041,,A
1004.9333705890026,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J01,7.012313364911584,0.0,0.0,False,0.8689795297056415,6,,,,,,2.5,,A016,False,0,0.0,S0,10,,A018,SETTLED,True,62.888159172933875,55.87584580802229,0.9575532680379097,0.836907098642218,0.9176768404633416,shared,0.8900192533109506,S0-XBPAY-00000006,0,A
1337.0441037314995,,False,,,,USD,,,0.0,0.0,1,1.0,XBPAY,1,0.0,0,J01,J00,6.593020700850026,0.0,0.0,True,0.8890237660869179,6,,,,,,2.5,,A019,True,0,0.6075181132777985,S0,10,,A004,SETTLED,False,63.00716324186455,56.41414254101453,0.8708402955139487,0.8945165187248176,0.9253291819307118,shared,0.8937467056686629,S0-XBPAY-00000007,0,A
,ASSET1,False,A015,906.3502872573796,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,4.3276236561053665,0.0,0.0,False,0.7835096227215114,6,,,,102.78476745611952,8.81794364757711,0.0,,,False,0,0.0,S0,10,A009,,SETTLED,True,63.534630466308705,59.20700681020334,0.8059671389381925,0.7204957759758361,0.8182390494879936,shared,0.7823442419690091,S0-DVP-00000063,,A
498.15498428396666,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J02,J00,5.1930236648787655,0.0,0.0,False,1.0,6,,,,,,2.5,,A011,False,0,0.0,S0,10,,A014,SETTLED,True,64.21456066968084,59.02153700480207,1.0,0.9442332413045463,1.0,shared,0.9888466482609093,S0-XBPAY-00000008,2,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,9.379239785627846,0.0,0.0,False,0.974498999536569,6,3480.9860307869776,A001,A013,,,0.0,1.0019544523732749,,False,0,0.0,S0,10,,,SETTLED,True,64.29456454045459,54.91532475482674,0.8886258367055995,1.0,1.0,shared,0.9675247671557474,S0-PVP-00000043,,A
,ASSET1,False,A013,1485.777208360828,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,2.2797056258481376,0.0,0.0,False,0.7381433765490202,6,,,,139.12156455186772,10.67970456734546,0.0,,,False,0,0.0,S0,10,A019,,SETTLED,True,75.34928304138657,73.06957741553843,0.732637745010293,0.7685684609254951,0.8052587415265998,shared,0.7565503401120857,S0-DVP-00000064,,A
1513.9590511638703,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J01,7.090120523747544,0.0,0.0,False,0.8098426396663502,6,,,,,,2.5,,A004,False,0,0.0,S0,10,,A005,SETTLED,True,75.97977809431205,68.88965757056451,0.8278697111195034,0.8053974257875615,0.776368698499683,shared,0.8058642229478896,S0-XBPAY-00000009,1,A
1665.0600859286924,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J01,6.351370944490014,0.0,0.0,False,0.9209332821301831,6,,,,,,2.5,,A005,False,0,0.0,S0,10,,A000,SETTLED,True,77.70245457104218,71.35108362655217,1.0,0.9915724823728067,0.979522469778156,shared,0.9625923032822659,S0-XBPAY-00000010,1,A
524.5069910095834,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J01,4.309337937681946,0.0,0.0,False,0.8563068699621325,6,,,,,,2.5,,A007,False,0,0.0,S0,10,,A018,SETTLED,True,78.77955473186907,74.47021679418712,0.8993380611599303,0.8494713416616955,0.9008592502503139,shared,0.8724564785992409,S0-XBPAY-00000012,1,A
616.0151972513092,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J02,4.075853076046599,0.0,0.0,False,0.9010710342615217,6,,,,,,2.5,,A006,False,0,0.0,S0,10,,A013,SETTLED,True,82.2282642769426,78.152411200896,0.8081251232232733,0.8852973252459897,0.8456551954237835,shared,0.868243942483218,S0-XBPAY-00000014,0,A
1469.3988083314239,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J01,11.273832260303095,0.0,0.0,False,0.676623658160646,6,,,,,,2.5,,A001,False,0,0.0,S0,10,,A005,SETTLED,True,82.65648641561894,71.38265415531585,0.6911129411707574,0.7622428038367691,0.6741460874289923,shared,0.6961498297515621,S0-XBPAY-00000011,0,A
793.8796523610597,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J01,5.327909711718775,0.0,0.0,False,0.9181840850942233,6,,,,,,2.5,,A008,False,0,0.0,S0,10,,A019,SETTLED,True,83.08190475879806,77.75399504707929,0.9209745793945431,0.841122922739196,0.8837901278034995,shared,0.896451160025137,S0-XBPAY-00000013,1,A
,ASSET1,False,A012,549.9701608291333,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,1.1772868635427756,0.0,0.0,False,1.0,6,,,,109.59649129259186,5.018136569362128,0.0,,,False,0,0.0,S0,10,A005,,SETTLED,True,83.16944358359564,81.99215672005286,1.0,0.9510845056841855,1.0,shared,0.9902169011368371,S0-DVP-00000065,,A
588.6950850891626,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J00,6.13997002279352,0.0,0.0,False,0.7724883264032701,6,,,,,,2.5,,A012,False,0,0.0,S0,10,,A008,SETTLED,True,87.9435805235823,81.80361050078878,0.8381721610628612,0.7288870439377964,0.8830629128491769,shared,0.7990197541312749,S0-XBPAY-00000015,1,A
,ASSET1,False,A009,1354.002832958737,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,3.808093708451537,0.0,0.0,False,0.8199038085888958,6,,,,126.28713261051048,10.721621474570146,0.0,,,False,0,0.0,S0,10,A015,,SETTLED,True,90.65431328782091,86.84621957936938,0.7804434076667183,0.8319538442449429,0.9332406731686933,shared,0.8370891084516292,S0-DVP-00000066,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,4.33618063713844,0.0,0.0,False,0.7187676198046425,6,1638.3931279387266,A018,A013,,,0.0,0.9590899094746288,,False,0,0.0,S0,10,,,SETTLED,True,90.95796963168348,86.62178899454504,0.715511276235405,0.8223958243643883,0.5703984489276247,shared,0.7091681578273408,S0-PVP-00000044,,A
,ASSET1,False,A010,749.4585603522214,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,5.507534210583756,0.0,0.0,False,0.6356878539992559,6,,,,61.469681502320014,12.192328673834679,0.0,,,False,0,0.0,S0,10,A005,,SETTLED,True,96.27192055893877,90.76438634835502,0.6341249718068244,0.6885987101304094,0.7220076726623451,shared,0.6632214125196182,S0-DVP-00000067,,A
1608.2100708350686,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J01,7.469714782988277,0.0,0.0,False,0.8146433509697294,6,,,,,,2.5,,A017,False,0,0.0,S0,10,,A019,SETTLED,True,102.57533657919205,95.10562179620378,0.8689385108024645,0.7195786444728204,0.8171323840292204,shared,0.8069872482487929,S0-XBPAY-00000016,0,A
,ASSET1,False,A004,1086.8665453991696,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,1.6388331829856355,0.0,0.0,False,0.7657762853798122,6,,,,132.06921522820502,8.229522251049582,0.0,,,False,0,0.0,S0,10,A003,,SETTLED,True,102.71283358570452,101.07400040271888,0.7805269266579032,0.7763008475870804,0.6870295694407724,shared,0.7550819828890761,S0-DVP-00000069,,A
1087.084959686757,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J01,4.2149638683107895,0.0,0.0,False,0.8348044203610879,6,,,,,,2.5,,A015,False,0,0.0,S0,10,,A005,SETTLED,True,106.19676246698019,101.9817985986694,0.876241584284287,0.8524059075348297,0.8217223420949789,shared,0.8439957349272543,S0-XBPAY-00000017,2,A
,ASSET1,False,A003,814.4857200343503,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,12.120939439855945,0.0,0.0,False,0.6193609296696267,6,,,,111.42103856458849,7.309981405012749,0.0,,,False,0,0.0,S0,10,A018,,SETTLED,True,109.46686239555468,97.34592295569874,0.6305602558858633,0.6152607160776202,0.6442308044087196,shared,0.6257547271422913,S0-DVP-00000068,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,3.9484653721509773,0.0,0.0,False,0.795412581661563,6,1761.626764520794,A017,A012,,,0.0,1.0382891006639174,,False,0,0.0,S0,10,,,SETTLED,True,110.29194501868926,106.34347964653828,0.7823206002975376,0.8161916986596088,0.7700966411506353,shared,0.7918868206861817,S0-PVP-00000047,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,10.226709775451951,0.0,0.0,False,0.830667750203765,6,3502.4772746872213,A003,A014,,,0.0,0.9545931666688585,,False,0,0.0,S0,10,,,SETTLED,True,111.2420113168349,101.01530154138295,0.7967987477525162,0.7498839650962552,0.9540904329250216,shared,0.8324217292362647,S0-PVP-00000045,,A
2272.856723794135,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J01,3.9490215616079354,0.0,0.0,False,0.6881570195368673,6,,,,,,2.5,,A010,False,0,0.0,S0,10,,A016,SETTLED,True,111.27981230962443,107.3307907480165,0.6543097777910183,0.5140605621612047,0.7093223907496544,shared,0.6508013539551224,S0-XBPAY-00000018,2,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,9.0148652964277,0.0,0.0,False,0.9362963263040212,6,1832.1611613754694,A018,A000,,,0.0,1.0347732733889856,,False,0,0.0,S0,10,,,SETTLED,True,112.51500605438329,103.50014075795559,0.974727402910651,0.9834741926623483,0.9993790597340035,shared,0.9660346615830091,S0-PVP-00000046,,A
,ASSET1,False,A003,647.3198821949375,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,11.902627192614887,0.0,0.0,False,0.7531652018021484,6,,,,87.3017949090147,7.414737381626226,0.0,,,False,0,0.0,S0,10,A013,,SETTLED,True,120.65203813085476,108.74941093823988,0.7131742879118868,0.6589857578072491,0.7636109479888974,shared,0.7284202794624661,S0-DVP-00000071,,A
,ASSET1,False,A006,667.2553961637283,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,15.870348135404996,0.0,0.0,False,0.869175031789541,6,,,,74.58641504081879,8.94607142330893,0.0,,,False,0,0.0,S0,10,A004,,SETTLED,True,122.09029031924182,106.21994218383682,0.8497156137365586,0.8800193735594577,0.8901252606564795,shared,0.8716420623063156,S0-DVP-00000070,,A
1283.7026198074886,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J01,3.176272035521606,0.0,0.0,False,0.7992219982945059,6,,,,,,2.5,,A001,False,0,0.0,S0,10,,A017,SETTLED,True,146.6064483804544,143.4301763449328,0.7587231120463143,0.6493342781169706,0.9053816582165001,shared,0.7823766089937595,S0-XBPAY-00000023,0,A
,ASSET1,False,A013,1173.996332328277,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,11.090216438526312,0.0,0.0,False,0.8347500238863603,6,,,,110.52041492316759,10.622438697361249,0.0,,,False,0,0.0,S0,10,A010,,SETTLED,True,150.38151594140962,139.2912995028833,0.8478563329156322,0.8835970059552805,0.8566019930023967,shared,0.851511075929206,S0-DVP-00000075,,A
,ASSET1,False,A017,1320.2629211513838,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,3.426555830225311,0.0,0.0,False,0.673426329422949,6,,,,112.8936208579811,11.694752202272435,0.0,,,False,0,0.0,S0,10,A003,,SETTLED,True,151.93948920421929,148.51293337399397,0.6183237892014428,0.6084724121973181,0.68806617799291,shared,0.6523430076475139,S0-DVP-00000077,,A
1275.0732371474994,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J02,2.944297281597102,0.0,0.0,False,0.7634881853902303,6,,,,,,2.5,,A007,False,0,0.0,S0,10,,A011,SETTLED,True,152.1495147962868,149.2052175146897,0.8506538631246042,0.7937837065563291,0.8142947881789997,shared,0.7971417457280787,S0-XBPAY-00000024,1,A
,ASSET1,False,A019,919.5421471377626,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,11.255139553841957,0.0,0.0,False,0.8080354060925138,6,,,,123.84181709290955,7.425134487875745,0.0,,,False,0,0.0,S0,10,A015,,SETTLED,True,152.21618715258126,140.9610475987393,0.8192786738659845,0.7824229391712169,0.7931919279410514,shared,0.8021928706326561,S0-DVP-00000076,,A
,ASSET1,False,A005,1001.323295845934,USD,,,,0.0,0.0,0,1.0,DVP,1,0.0,0,,,13.941010461713063,0.0,0.0,False,0.792606194275243,6,,,,101.8193022986991,9.834317003159503,0.0,,,False,0,0.0,S0,10,A004,,SETTLED,True,153.0702165230227,139.12920606130965,0.7881688350583782,0.7464010318215235,0.7406117695179775,shared,0.7720788049896731,S0-DVP-00000074,,A
