amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,reason,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_fail,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
,ASSET1,False,A000,1382.255535721072,EUR,,,,0.0,0.0,0,1.0,DVP,0,4.0,1,,,7.839378915670277,0.0,0.0,False,0.7138467570379047,6,,,,118.20153250058,11.694057652884402,0.0,,,,False,0,0.0,S0,11,A014,,SETTLED,False,,35.69768837232965,27.858309456659374,0.8440976133798848,0.6659302142906176,0.6697562641913711,shared,0.7214955211875366,S0-DVP-00000084,,A
454.3298136615415,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J00,3.938160293011876,0.0,0.0,False,0.6711987783913007,6,,,,,,2.5,,,A012,False,0,0.0,S0,11,,A013,SETTLED,True,,37.67678232463459,33.73862203162271,0.6433385595047557,0.5866834225093931,0.7234301491593824,shared,0.6591699375912266,S0-XBPAY-00000006,0,A
866.7595411137538,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J01,7.074367849383947,0.0,0.0,False,0.6582655231222131,6,,,,,,2.5,,,A001,False,0,0.0,S0,11,,A010,SETTLED,True,,37.821925996498585,30.74755814711464,0.6099544353451934,0.6191867193221412,0.6905880419947893,shared,0.64725204858131,S0-XBPAY-00000004,1,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,12.715023690798311,0.0,0.0,False,0.7501285412365857,6,1876.754275159045,A018,A011,,,0.0,1.0272527521234223,,,False,0,0.0,S0,11,,,SETTLED,True,,38.90801382518107,26.19299013438276,0.7472717987716859,0.7115408826934426,0.7366811263833921,shared,0.7391501780643385,S0-PVP-00000052,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,10.026875871140685,0.0,0.0,False,0.8683309049196647,6,1116.0409664654385,A014,A017,,,0.0,1.044955442213493,,,False,0,0.0,S0,11,,,SETTLED,True,,41.65570326713094,31.628827395990253,0.8731402879373721,0.8082345112552847,0.7983090513429555,shared,0.8432691320749883,S0-PVP-00000053,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,5.543914605564538,0.0,0.0,False,0.8293350297022861,6,1653.6554897146882,A012,A003,,,0.0,1.0364947641779059,,,False,0,0.0,S0,11,,,SETTLED,True,,42.20542697042115,36.66151236485661,0.8010701084293008,0.8363640271287976,0.7774771906273501,shared,0.8147162771180042,S0-PVP-00000054,,A
931.9135029225469,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J02,6.366674459835643,0.0,0.0,False,0.8868599064526552,6,,,,,,2.5,,,A005,False,0,0.0,S0,11,,A016,SETTLED,True,,44.809605877793764,38.44293141795812,0.8572961971870144,0.9162757609729129,0.9789039521652356,shared,0.9052391446460948,S0-XBPAY-00000007,2,A
,ASSET1,False,A015,959.2286603709274,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,4.9328772801939635,0.0,0.0,False,0.7603649260390634,6,,,,87.44018447780206,10.970112495753497,0.0,,,,False,0,0.0,S0,11,A014,,SETTLED,True,,46.72883903962919,41.79596175943523,0.7812261150837758,0.6993406887972476,0.815265222398634,shared,0.7633123756715569,S0-DVP-00000086,,A
336.1701296657284,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J00,14.466577809284082,0.0,0.0,False,0.7703473416479192,6,,,,,,2.5,,,A019,False,0,0.0,S0,11,,A006,SETTLED,True,,46.807507489674165,32.34092968039008,0.7700845616805804,0.6766438125643373,0.7943293418541735,shared,0.756350479878986,S0-XBPAY-00000005,2,A
199.11062293020336,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J00,6.178744362329958,0.0,0.0,False,0.824237510360941,6,,,,,,2.5,,,A000,False,0,0.0,S0,11,,A012,SETTLED,True,,47.72040105199426,41.5416566896643,0.7842811294645121,0.822087199209946,0.8619920241356236,shared,0.8233670747063928,S0-XBPAY-00000008,0,A
,ASSET1,False,A006,807.1848927678939,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,8.070617939588892,0.0,0.0,False,1.0,6,,,,98.0617113037919,8.23139716853668,0.0,,,,False,0,0.0,S0,11,A005,,SETTLED,True,,48.363798945302996,40.2931810057141,0.9908712697928765,1.0,1.0,shared,0.9981742539585754,S0-DVP-00000085,,A
877.3839902092654,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J02,0.0,0.0,0.0,False,0.7833667063749556,6,,,,,,0.0,,SANCTION_BLOCK,A003,False,0,0.0,S0,11,,A017,FAILED,False,51.09246998441009,,51.09246998441009,0.7863400896883914,0.786433677683773,0.7126169363110775,shared,0.7704248232866306,S0-XBPAY-00000012,0,A
1435.956769426745,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J02,3.162726095224066,0.0,0.0,False,0.8037051804800938,6,,,,,,2.5,,,A004,False,0,0.0,S0,11,,A015,SETTLED,True,,53.038849562155505,49.87612346693144,0.8507768209360276,0.779755724868411,0.6920192537391132,shared,0.785992432100748,S0-XBPAY-00000011,0,A
,ASSET1,False,A018,552.5818591248967,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,5.321770571944157,0.0,0.0,False,0.7587424580068931,6,,,,96.36047848014331,5.734527970808752,0.0,,,,False,0,0.0,S0,11,A010,,SETTLED,True,,53.103695469522656,47.7819248975785,0.7408976294299311,0.7189717733920536,0.7974299744165383,shared,0.7549568586504618,S0-DVP-00000090,,A
654.8386466723339,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J02,5.5868694599244435,0.0,0.0,False,0.5759100229825765,6,,,,,,2.5,,,A011,False,0,0.0,S0,11,,A017,SETTLED,True,,53.38355667584078,47.796687215916336,0.6685832437382386,0.49122352447169804,0.5922551492357974,shared,0.5807763926821774,S0-XBPAY-00000010,2,A
