amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,4.677682854390316,4936.113713549983,4.677682854390316,False,0.7692368472915474,4,2450.368189305479,A009,A008,,,0.0,1.014437558850718,,False,0,0.0,S0,10,,,SETTLED,True,5.585698659475632,0.908015805085316,0.7572560671534957,0.8116251346834442,0.7568924658600468,shared,0.7728494724560163,S0-PVP-00000034,,B
,ASSET1,False,A013,1485.777208360828,USD,,,,10.67970456734546,0.048029783986137886,0,0.5,DVP,0,0.0,0,,,0.048029783986137886,1485.777208360828,0.048029783986137886,False,0.7381433765490202,4,,,,139.12156455186772,10.67970456734546,0.0,,,False,0,0.0,S0,10,A019,,SETTLED,True,73.11760719952457,73.06957741553843,0.732637745010293,0.7685684609254951,0.8052587415265998,shared,0.7565503401120857,S0-DVP-00000064,,B
793.8796523610597,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,0,0.0,0,J00,J01,0.22667111535439233,0.0,0.0,False,0.9181840850942233,4,,,,,,0.0,,A008,False,0,0.0,S0,10,,A019,SETTLED,True,77.98066616243368,77.75399504707929,0.9209745793945431,0.841122922739196,0.8837901278034995,shared,0.896451160025137,S0-XBPAY-00000013,1,B
616.0151972513092,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,1,0.0,0,J02,J02,1.6956392362861976,0.0,0.0,False,0.9010710342615217,4,,,,,,0.0,,A006,False,0,0.0,S0,10,,A013,SETTLED,True,79.8480504371822,78.152411200896,0.8081251232232733,0.8852973252459897,0.8456551954237835,shared,0.868243942483218,S0-XBPAY-00000014,0,B
524.5069910095834,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,1,0.0,0,J00,J01,5.4585074206159305,0.0,0.0,False,0.8563068699621325,4,,,,,,0.0,,A007,False,0,0.0,S0,10,,A018,SETTLED,True,79.92872421480305,74.47021679418712,0.8993380611599303,0.8494713416616955,0.9008592502503139,shared,0.8724564785992409,S0-XBPAY-00000012,1,B
,ASSET1,False,A012,549.9701608291333,USD,,,,5.018136569362128,0.41819137495912173,0,0.5,DVP,0,0.0,0,,,0.41819137495912173,549.9701608291333,0.41819137495912173,False,1.0,4,,,,109.59649129259186,5.018136569362128,0.0,,,False,0,0.0,S0,10,A005,,SETTLED,True,82.41034809501198,81.99215672005286,1.0,0.9510845056841855,1.0,shared,0.9902169011368371,S0-DVP-00000065,,B
588.6950850891626,,False,,,,USD,,,0.0,0.0,0,0.5,XBPAY,1,0.0,0,J01,J00,3.1170470542690794,0.0,0.0,False,0.7724883264032701,4,,,,,,0.0,,A012,False,0,0.0,S0,10,,A008,SETTLED,True,84.92065755505786,81.80361050078878,0.8381721610628612,0.7288870439377964,0.8830629128491769,shared,0.7990197541312749,S0-XBPAY-00000015,1,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,1.5965618454264074,3209.7594446973335,1.5965618454264074,False,0.7187676198046425,4,1638.3931279387266,A018,A013,,,0.0,0.9590899094746288,,False,0,0.0,S0,10,,,SETTLED,True,88.21835083997145,86.62178899454504,0.715511276235405,0.8223958243643883,0.5703984489276247,shared,0.7091681578273408,S0-PVP-00000044,,B
,ASSET1,False,A009,1354.002832958737,EUR,,,,10.721621474570146,4.295272693207039,0,0.5,DVP,0,0.0,0,,,4.295272693207039,1354.002832958737,4.295272693207039,False,0.8199038085888958,4,,,,126.28713261051048,10.721621474570146,0.0,,,False,0,0.0,S0,10,A015,,SETTLED,True,91.14149227257641,86.84621957936938,0.7804434076667183,0.8319538442449429,0.9332406731686933,shared,0.8370891084516292,S0-DVP-00000066,,B
,ASSET1,False,A010,749.4585603522214,EUR,,,,12.192328673834679,0.7194873577077487,0,0.5,DVP,0,0.0,0,,,0.7194873577077487,749.4585603522214,0.7194873577077487,False,0.6356878539992559,4,,,,61.469681502320014,12.192328673834679,0.0,,,False,0,0.0,S0,10,A005,,SETTLED,True,91.48387370606277,90.76438634835502,0.6341249718068244,0.6885987101304094,0.7220076726623451,shared,0.6632214125196182,S0-DVP-00000067,,B
